"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Grey Partridge","Perdix perdix",,"Stanislas Wroza",2021-09-11,07:30,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"call, flight call","

bird-seen:yes

playback-used:no",,674188,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey Partridge","Perdix perdix",,"Stanislas Wroza",2020-04-18,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call, short call, song","

bird-seen:yes

playback-used:no",,547120,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey Partridge","Perdix perdix",,"Stanislas Wroza",2020-04-18,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call, grating call, song","

bird-seen:yes

playback-used:no",,547119,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey Partridge","Perdix perdix",,"Stanislas Wroza",2020-04-09,07:00,"Davron, Yvelines, Île-de-France",France,48.8604,1.9377,120,"flight call","

playback-used:no",,543401,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Quail","Coturnix coturnix",,"Bertrand Dallet",2021-07-22,04:00,"Les Molières, Essonne, Île-de-France",France,48.6715,2.0578,170,"flight call, nocturnal flight call, song","

bird-seen:no

playback-used:no",,703328,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Quail","Coturnix coturnix",,Hurtrel,2020-05-24,09:00,"Arrondissement de Meaux (near  Dagny), Seine-et-Marne, Île-de-France",France,48.7169,3.1676,120,"adult, male, song","Record with my phone",,695611,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Quail","Coturnix coturnix",,"Tanguy Loïs",2020-06-15,21:00,"Saint-Lucien, Yvelines, Île-de-France",France,48.6388,1.6498,140,song,"

bird-seen:no

playback-used:no","Alauda arvensis",568822,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Quail","Coturnix coturnix",,"julien Rochefort",2019-06-02,04:11,"Savigny-sur-Orge, Essonne, Île-de-France",France,48.675,2.3501,50,"Nocturnal flight call, flight call","Singing in flight during night migration

bird-seen:no

playback-used:no",,478345,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Quail","Coturnix coturnix",,"julien Rochefort",2019-05-23,23:16,"Savigny-sur-Orge, Essonne, Île-de-France",France,48.675,2.3501,50,"Nocturnal Flight Call, flight call","A song sentence in flight during night migration.

bird-seen:no

playback-used:no",,476473,//creativecommons.org/licenses/by-nc-sa/4.0/
"Reeves's Pheasant","Syrmaticus reevesii",,"Stanislas Wroza",2017-09-17,21:00,"Auffargis, Yvelines, Île-de-France",France,48.6871,1.8866,180,"flight call, flushed bird","

bird-seen:yes

playback-used:no",,386855,//creativecommons.org/licenses/by-nc-sa/4.0/
"Reeves's Pheasant","Syrmaticus reevesii",,"Stanislas Wroza",2017-09-17,21:00,"Auffargis, Yvelines, Île-de-France",France,48.6871,1.8866,180,"flight call, flushed bird in the night","

bird-seen:yes

playback-used:no",,386854,//creativecommons.org/licenses/by-nc-sa/4.0/
"Reeves's Pheasant","Syrmaticus reevesii",,"Stanislas Wroza",2017-03-19,09:00,"Auffargis, Yvelines, Île-de-France",France,48.6744,1.9187,170,call,"

bird-seen:yes

playback-used:no",,360690,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Pheasant","Phasianus colchicus",,"Stanislas Wroza",2020-12-15,17:30,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"flight call","

bird-seen:yes

playback-used:no",,609220,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Pheasant","Phasianus colchicus",,"Stanislas Wroza",2020-11-28,08:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"flight call, wing beats","

bird-seen:yes

playback-used:no",,606398,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Pheasant","Phasianus colchicus",,"Tanguy Loïs",2020-10-28,08:30,"Saint-Lucien, Yvelines, Île-de-France",France,48.646,1.6399,130,"flight call","

bird-seen:yes

playback-used:no",,598494,//creativecommons.org/licenses/by-nc-sa/4.0/
"Canada Goose","Branta canadensis",,"Manuel Grosselet",2022-04-20,16:30,"Sausset Park (near  Aulnay-sous-Bois), Seine-Saint-Denis, Île-de-France",France,48.9595,2.5111,70,"adult, call","wildtronics mono amplified 
Tascam Dr05

bird-seen:yes

playback-used:no",,716809,//creativecommons.org/licenses/by-nc-sa/4.0/
"Canada Goose","Branta canadensis",,"Stanislas Wroza",2021-01-10,08:00,"Saint-Léger-en-Yvelines, Yvelines, Île-de-France",France,48.7386,1.7174,130,"flight call","

bird-seen:yes

playback-used:no",,614206,//creativecommons.org/licenses/by-nc-sa/4.0/
"Canada Goose","Branta canadensis",,"Stanislas Wroza",2020-05-10,06:30,"Saint-Nom-la-Bretèche, Yvelines, Île-de-France",France,48.8641,2.0111,120,"flight call","

bird-seen:yes

playback-used:no",,557197,//creativecommons.org/licenses/by-nc-sa/4.0/
